DATE,DSPIC96
2012-12-01,13642.7
2013-01-01,12845.5
2013-02-01,12813.9
2013-03-01,12852.1
2013-04-01,12893.4
2013-05-01,12954.2
2013-06-01,12955.7
2013-07-01,12941.8
2013-08-01,12969.6
2013-09-01,13027.5
2013-10-01,12974.6
2013-11-01,12998.9
2013-12-01,13019.1
2014-01-01,13079.5
2014-02-01,13148.0
2014-03-01,13219.9
2014-04-01,13270.2
2014-05-01,13312.9
2014-06-01,13360.4
2014-07-01,13386.8
2014-08-01,13445.9
2014-09-01,13486.3
2014-10-01,13550.7
2014-11-01,13624.4
2014-12-01,13719.1
2015-01-01,13797.7
2015-02-01,13848.0
2015-03-01,13811.3
2015-04-01,13842.0
2015-05-01,13865.6
2015-06-01,13874.1
2015-07-01,13905.7
2015-08-01,13935.8
2015-09-01,13972.2
2015-10-01,13996.9
2015-11-01,13993.4
2015-12-01,14060.2
2016-01-01,14121.1
2016-02-01,14135.3
2016-03-01,14135.4
2016-04-01,14106.2
2016-05-01,14095.5
2016-06-01,14104.9
2016-07-01,14160.1
2016-08-01,14176.7
2016-09-01,14209.1
2016-10-01,14235.4
2016-11-01,14273.6
2016-12-01,14313.7
2017-01-01,14373.7
2017-02-01,14416.8
2017-03-01,14476.3
2017-04-01,14509.3
2017-05-01,14610.7
2017-06-01,14618.7
2017-07-01,14660.2
2017-08-01,14678.3
2017-09-01,14706.0
2017-10-01,14748.6
2017-11-01,14771.1
2017-12-01,14797.9
2018-01-01,14886.6
2018-02-01,14921.1
2018-03-01,14974.8
2018-04-01,15007.2
2018-05-01,15057.8
2018-06-01,15119.3
2018-07-01,15184.7
2018-08-01,15238.6
2018-09-01,15237.5
2018-10-01,15274.1
2018-11-01,15315.2
2018-12-01,15506.5
2019-01-01,15501.7
2019-02-01,15553.7
2019-03-01,15568.9
2019-04-01,15524.4
2019-05-01,15519.6
2019-06-01,15546.4
2019-07-01,15565.7
2019-08-01,15654.1
2019-09-01,15691.3
2019-10-01,15718.1
2019-11-01,15778.2
2019-12-01,15684.8
2020-01-01,15852.5
2020-02-01,15918.0
2020-03-01,15696.3
2020-04-01,18020.2
2020-05-01,17104.6
2020-06-01,17035.0
2020-07-01,17193.2
2020-08-01,16525.8
2020-09-01,16607.9
2020-10-01,16561.9
2020-11-01,16368.1
2020-12-01,16406.1
2021-01-01,18107.3
2021-02-01,16604.9
2021-03-01,20422.6
2021-04-01,17316.6
2021-05-01,16819.1
2021-06-01,16736.3
2021-07-01,16836.1
2021-08-01,16791.7
2021-09-01,16564.3
2021-10-01,16547.4
2021-11-01,16499.8
2021-12-01,16418.5
2022-01-01,16080.8
2022-02-01,16092.7
2022-03-01,16028.1
2022-04-01,16042.6
2022-05-01,16023.2
2022-06-01,15963.4
2022-07-01,16109.3
2022-08-01,16161.4
2022-09-01,16184.9
2022-10-01,16223.5
2022-11-01,16229.6
2022-12-01,16265.1
2023-01-01,16601.9
2023-02-01,16656.1
2023-03-01,16730.2
2023-04-01,16763.9
2023-05-01,16818.5
2023-06-01,16809.5
2023-07-01,16796.9
2023-08-01,16799.7
2023-09-01,16804.8
2023-10-01,16848.7
